text,label
"He took the neighbour's bike without asking and sold it.",1
"She paid for her groceries and walked home.",0
"They argued loudly in the street late at night.",2
"I forged my manager's signature on the expense form.",1
"We donated our old clothes to the shelter.",0
"Someone was in the room but it's not clear what they did.",2
"He broke into the shop and emptied the till.",1
"The librarian helped me find a reference book.",0
"A figure ran past me; I didn't see what happened.",2
"They smuggled cigarettes across the border at night.",1
"She volunteered at the soup kitchen on weekends.",0
"There was shouting but the cause was unknown.",2
